id,title,author,text,label
1,L'Internet est sans fin,Pierre Lemoine,"L'Internet est vaste, mais il n'est pas infini et possède des limites techniques et pratiques.",1
2,Les poissons peuvent respirer hors de l'eau,François Lefevre,Les poissons respirent grâce aux branchies et ne peuvent pas respirer hors de l'eau pendant longtemps.,1
3,La terre est stationnaire,Michel Lefevre,"La Terre tourne autour du soleil, contrairement à l'idée erronée que la Terre serait stationnaire.",1
4,Les chiens peuvent voler,Sophie Durand,"Les chiens ne peuvent pas voler, ils sont des animaux terrestres.",1
5,Les gorilles sont végétariens,Jérôme Boucher,"Les gorilles sont principalement herbivores, bien qu'ils puissent parfois manger des insectes.",0
6,Les pyramides d'Égypte ont été construites par des extraterrestres,Claude Marais,"Les pyramides ont été construites par les anciens Égyptiens grâce à leurs compétences en ingénierie, non par des extraterrestres.",1
7,La gravité est un mythe,Lucien Picard,La gravité est une force bien documentée qui attire les objets vers le centre de la Terre.,1
8,Les abeilles produisent du miel,Pierre Moreau,Les abeilles produisent du miel à partir du nectar qu'elles récoltent des fleurs.,0
9,La Terre est plate,Maxime Durant,"La Terre est ronde, comme l'a prouvé la science à travers des siècles d'observations et de recherches.",1
10,Les ordinateurs sont infaillibles,Caroline Delacour,Les ordinateurs peuvent rencontrer des erreurs et des défaillances techniques malgré leur puissance.,1
11,Le soleil est une étoile,Jean-Michel Lefevre,Le soleil est une étoile située au centre de notre système solaire.,0
12,La lune est faite de fromage,Alain Dupont,"La lune est une planète rocheuse, elle n'est pas composée de fromage comme dans certaines légendes.",1
13,Les serpents peuvent voler,Marc Lefevre,"Les serpents ne volent pas, mais certaines espèces peuvent planer pendant de courtes distances.",1
14,Le corps humain est composé uniquement de cellules,Sylvain Dufresne,"Le corps humain est constitué de cellules, mais aussi de tissus, organes et systèmes complexes.",1
15,Les astronautes vivent dans l'espace pour toujours,Gérard Lefevre,"Les astronautes ne peuvent pas vivre éternellement dans l'espace, et ils doivent revenir sur Terre après des missions",1
16,Les poules peuvent pondre des œufs sans mâle,Élise Dufresne,"Les poules peuvent pondre des œufs sans la présence d'un mâle, mais ces œufs ne seront pas fécondés.",0
17,Le vent souffle toujours dans la même direction,Mélanie Boucher,Le vent change de direction en fonction de la météo et des courants atmosphériques.,1
18,Les éléphants sont des créatures intelligentes,Louis Leclerc,"Les éléphants sont effectivement des créatures très intelligentes, capables de résoudre des problèmes complexes.",0
19,L'humain peut respirer sous l'eau,Philippe Lefevre,L'humain ne peut pas respirer sous l'eau sans équipement spécialisé comme un tuba ou un scaphandre.,1
20,Le chocolat est bon pour la santé,Claire Dufresne,"Le chocolat peut être bénéfique en petite quantité, mais une consommation excessive peut nuire à la santé.",1
21,Les oiseaux migrent vers le Sud en hiver,Alice Lefevre,"Les oiseaux migrent effectivement vers le Sud en hiver, cherchant des climats plus chauds.",0
22,Les dinosaures ont vécu avec les humains,Éric Lefevre,Les dinosaures ont disparu des millions d'années avant l'apparition de l'homme.,1
23,Les éléphants peuvent se souvenir de choses pendant des années,Pierre Lefevre,Les éléphants ont une excellente mémoire et peuvent se souvenir de choses pendant des années.,0
24,Les chats détestent l'eau,Marc Lefevre,"En général, les chats n'aiment pas l'eau, mais certains peuvent y être habitués.",0
25,Les oiseaux sont des reptiles,Thérèse Lefevre,"Les oiseaux sont des descendants directs des reptiles, ayant des ancêtres communs avec eux.",0
